409 COPPIA: 25169 25171  T: 0.079174
410 COPPIA: 25301 25303  T: 0.080114
411 COPPIA: 25307 25309  T: 0.080166
412 COPPIA: 25409 25411  T: 0.080595
413 COPPIA: 25469 25471  T: 0.080984
414 COPPIA: 25577 25579  T: 0.081431
415 COPPIA: 25601 25603  T: 0.081558
416 COPPIA: 25799 25801  T: 0.082561
417 COPPIA: 25847 25849  T: 0.082834
418 COPPIA: 25931 25933  T: 0.083262
419 COPPIA: 25997 25999  T: 0.083662
420 COPPIA: 26111 26113  T: 0.084210
421 COPPIA: 26249 26251  T: 0.084948
422 COPPIA: 26261 26263  T: 0.085020
423 COPPIA: 26681 26683  T: 0.087070
424 COPPIA: 26699 26701  T: 0.087186
425 COPPIA: 26711 26713  T: 0.087253
426 COPPIA: 26729 26731  T: 0.087371
427 COPPIA: 26861 26863  T: 0.088012
428 COPPIA: 26879 26881  T: 0.088111
429 COPPIA: 26891 26893  T: 0.088179
430 COPPIA: 26951 26953  T: 0.088504
431 COPPIA: 27059 27061  T: 0.089143
432 COPPIA: 27107 27109  T: 0.089497
433 COPPIA: 27239 27241  T: 0.090159
434 COPPIA: 27281 27283  T: 0.090438
435 COPPIA: 27407 27409  T: 0.091057
436 COPPIA: 27479 27481  T: 0.091444
437 COPPIA: 27527 27529  T: 0.091691
438 COPPIA: 27539 27541  T: 0.091787
439 COPPIA: 27581 27583  T: 0.091982
440 COPPIA: 27689 27691  T: 0.092734
441 COPPIA: 27737 27739  T: 0.093018
442 COPPIA: 27749 27751  T: 0.093101
443 COPPIA: 27791 27793  T: 0.093380
444 COPPIA: 27917 27919  T: 0.094006
445 COPPIA: 27941 27943  T: 0.094154
446 COPPIA: 28097 28099  T: 0.095075
447 COPPIA: 28109 28111  T: 0.095141
448 COPPIA: 28181 28183  T: 0.095455
449 COPPIA: 28277 28279  T: 0.095959
450 COPPIA: 28307 28309  T: 0.096162
451 COPPIA: 28349 28351  T: 0.096377
452 COPPIA: 28409 28411  T: 0.096695
453 COPPIA: 28547 28549  T: 0.097459
454 COPPIA: 28571 28573  T: 0.097609
455 COPPIA: 28619 28621  T: 0.097950
456 COPPIA: 28661 28663  T: 0.098248
457 COPPIA: 28751 28753  T: 0.098779
458 COPPIA: 29021 29023  T: 0.100220
459 COPPIA: 29129 29131  T: 0.100953
460 COPPIA: 29207 29209  T: 0.101464
461 COPPIA: 29387 29389  T: 0.102489
462 COPPIA: 29399 29401  T: 0.102730
463 COPPIA: 29567 29569  T: 0.103958
464 COPPIA: 29669 29671  T: 0.104640
465 COPPIA: 29759 29761  T: 0.105154
466 COPPIA: 29879 29881  T: 0.105875
467 COPPIA: 30011 30013  T: 0.106746
468 COPPIA: 30089 30091  T: 0.107183
469 COPPIA: 30137 30139  T: 0.107532
470 COPPIA: 30269 30271  T: 0.108305
471 COPPIA: 30389 30391  T: 0.109007
472 COPPIA: 30467 30469  T: 0.109457
473 COPPIA: 30491 30493  T: 0.109581
474 COPPIA: 30557 30559  T: 0.110050
475 COPPIA: 30839 30841  T: 0.111728
476 COPPIA: 30851 30853  T: 0.111820
477 COPPIA: 30869 30871  T: 0.111986
478 COPPIA: 31079 31081  T: 0.113283
479 COPPIA: 31121 31123  T: 0.113479
480 COPPIA: 31151 31153  T: 0.113693
481 COPPIA: 31181 31183  T: 0.113939
482 COPPIA: 31247 31249  T: 0.114416
483 COPPIA: 31319 31321  T: 0.114793
484 COPPIA: 31391 31393  T: 0.115326
485 COPPIA: 31511 31513  T: 0.115893
486 COPPIA: 31541 31543  T: 0.116094
487 COPPIA: 31721 31723  T: 0.117307
