353 COPPIA: 20771 20773  T: 0.102432
354 COPPIA: 20807 20809  T: 0.102695
355 COPPIA: 20897 20899  T: 0.103355
356 COPPIA: 20981 20983  T: 0.104116
357 COPPIA: 21011 21013  T: 0.104832
358 COPPIA: 21017 21019  T: 0.104937
359 COPPIA: 21059 21061  T: 0.105309
360 COPPIA: 21191 21193  T: 0.106472
361 COPPIA: 21317 21319  T: 0.107432
362 COPPIA: 21377 21379  T: 0.107840
363 COPPIA: 21491 21493  T: 0.108863
364 COPPIA: 21521 21523  T: 0.109560
365 COPPIA: 21557 21559  T: 0.110072
366 COPPIA: 21587 21589  T: 0.110400
367 COPPIA: 21599 21601  T: 0.110524
368 COPPIA: 21611 21613  T: 0.110637
369 COPPIA: 21647 21649  T: 0.110943
370 COPPIA: 21737 21739  T: 0.111707
371 COPPIA: 21839 21841  T: 0.112950
372 COPPIA: 22037 22039  T: 0.115783
373 COPPIA: 22091 22093  T: 0.116268
374 COPPIA: 22109 22111  T: 0.116427
375 COPPIA: 22157 22159  T: 0.116959
376 COPPIA: 22271 22273  T: 0.117828
377 COPPIA: 22277 22279  T: 0.117938
378 COPPIA: 22367 22369  T: 0.118618
379 COPPIA: 22481 22483  T: 0.119750
380 COPPIA: 22541 22543  T: 0.120468
381 COPPIA: 22571 22573  T: 0.121044
382 COPPIA: 22619 22621  T: 0.121599
383 COPPIA: 22637 22639  T: 0.121870
384 COPPIA: 22697 22699  T: 0.122473
385 COPPIA: 22739 22741  T: 0.122932
386 COPPIA: 22859 22861  T: 0.124089
387 COPPIA: 22961 22963  T: 0.124799
388 COPPIA: 23027 23029  T: 0.125545
389 COPPIA: 23039 23041  T: 0.125697
390 COPPIA: 23057 23059  T: 0.125959
391 COPPIA: 23201 23203  T: 0.127310
392 COPPIA: 23291 23293  T: 0.128174
393 COPPIA: 23369 23371  T: 0.128807
394 COPPIA: 23537 23539  T: 0.130213
395 COPPIA: 23561 23563  T: 0.130514
396 COPPIA: 23627 23629  T: 0.131333
397 COPPIA: 23669 23671  T: 0.131628
398 COPPIA: 23687 23689  T: 0.131838
399 COPPIA: 23741 23743  T: 0.132363
400 COPPIA: 23831 23833  T: 0.133271
401 COPPIA: 23909 23911  T: 0.134205
402 COPPIA: 24107 24109  T: 0.136348
403 COPPIA: 24179 24181  T: 0.137092
404 COPPIA: 24371 24373  T: 0.138960
405 COPPIA: 24419 24421  T: 0.139478
406 COPPIA: 24917 24919  T: 0.144517
407 COPPIA: 24977 24979  T: 0.145127
408 COPPIA: 25031 25033  T: 0.145539
409 COPPIA: 25169 25171  T: 0.147108
410 COPPIA: 25301 25303  T: 0.148603
411 COPPIA: 25307 25309  T: 0.148732
412 COPPIA: 25409 25411  T: 0.149771
413 COPPIA: 25469 25471  T: 0.150540
414 COPPIA: 25577 25579  T: 0.151406
415 COPPIA: 25601 25603  T: 0.151704
416 COPPIA: 25799 25801  T: 0.154006
417 COPPIA: 25847 25849  T: 0.154514
418 COPPIA: 25931 25933  T: 0.155315
419 COPPIA: 25997 25999  T: 0.156102
420 COPPIA: 26111 26113  T: 0.157390
421 COPPIA: 26249 26251  T: 0.158837
422 COPPIA: 26261 26263  T: 0.158988
423 COPPIA: 26681 26683  T: 0.163243
424 COPPIA: 26699 26701  T: 0.163534
425 COPPIA: 26711 26713  T: 0.163684
426 COPPIA: 26729 26731  T: 0.163955
427 COPPIA: 26861 26863  T: 0.165395
428 COPPIA: 26879 26881  T: 0.165622
429 COPPIA: 26891 26893  T: 0.165776
430 COPPIA: 26951 26953  T: 0.166418
431 COPPIA: 27059 27061  T: 0.167644
432 COPPIA: 27107 27109  T: 0.168395
433 COPPIA: 27239 27241  T: 0.169704
434 COPPIA: 27281 27283  T: 0.170277
435 COPPIA: 27407 27409  T: 0.171620
436 COPPIA: 27479 27481  T: 0.172470
437 COPPIA: 27527 27529  T: 0.173008
438 COPPIA: 27539 27541  T: 0.173161
439 COPPIA: 27581 27583  T: 0.173610
440 COPPIA: 27689 27691  T: 0.174661
441 COPPIA: 27737 27739  T: 0.175249
442 COPPIA: 27749 27751  T: 0.175458
443 COPPIA: 27791 27793  T: 0.176050
444 COPPIA: 27917 27919  T: 0.177454
445 COPPIA: 27941 27943  T: 0.177738
446 COPPIA: 28097 28099  T: 0.179906
447 COPPIA: 28109 28111  T: 0.180073
448 COPPIA: 28181 28183  T: 0.180826
449 COPPIA: 28277 28279  T: 0.181788
450 COPPIA: 28307 28309  T: 0.182236
451 COPPIA: 28349 28351  T: 0.182704
452 COPPIA: 28409 28411  T: 0.183358
453 COPPIA: 28547 28549  T: 0.185024
454 COPPIA: 28571 28573  T: 0.185357
455 COPPIA: 28619 28621  T: 0.186081
456 COPPIA: 28661 28663  T: 0.186793
457 COPPIA: 28751 28753  T: 0.187825
458 COPPIA: 29021 29023  T: 0.191040
459 COPPIA: 29129 29131  T: 0.192409
460 COPPIA: 29207 29209  T: 0.193577
461 COPPIA: 29387 29389  T: 0.195584
462 COPPIA: 29399 29401  T: 0.195879
463 COPPIA: 29567 29569  T: 0.198031
464 COPPIA: 29669 29671  T: 0.199381
465 COPPIA: 29759 29761  T: 0.200358
466 COPPIA: 29879 29881  T: 0.201881
467 COPPIA: 30011 30013  T: 0.203520
468 COPPIA: 30089 30091  T: 0.204345
469 COPPIA: 30137 30139  T: 0.205201
470 COPPIA: 30269 30271  T: 0.206892
471 COPPIA: 30389 30391  T: 0.208391
472 COPPIA: 30467 30469  T: 0.209367
473 COPPIA: 30491 30493  T: 0.209647
474 COPPIA: 30557 30559  T: 0.210613
475 COPPIA: 30839 30841  T: 0.215589
476 COPPIA: 30851 30853  T: 0.215858
477 COPPIA: 30869 30871  T: 0.216219
478 COPPIA: 31079 31081  T: 0.218990
479 COPPIA: 31121 31123  T: 0.219412
480 COPPIA: 31151 31153  T: 0.219855
481 COPPIA: 31181 31183  T: 0.220416
482 COPPIA: 31247 31249  T: 0.221538
483 COPPIA: 31319 31321  T: 0.222379
484 COPPIA: 31391 31393  T: 0.223501
485 COPPIA: 31511 31513  T: 0.224758
486 COPPIA: 31541 31543  T: 0.225235
487 COPPIA: 31721 31723  T: 0.227838
488 COPPIA: 31727 31729  T: 0.228012
489 COPPIA: 31769 31771  T: 0.228620
490 COPPIA: 31847 31849  T: 0.229552
491 COPPIA: 32027 32029  T: 0.232059
492 COPPIA: 32057 32059  T: 0.232761
493 COPPIA: 32117 32119  T: 0.233962
494 COPPIA: 32141 32143  T: 0.234278
495 COPPIA: 32189 32191  T: 0.235107
496 COPPIA: 32297 32299  T: 0.237299
497 COPPIA: 32321 32323  T: 0.237986
498 COPPIA: 32369 32371  T: 0.239456
499 COPPIA: 32411 32413  T: 0.240337
500 COPPIA: 32441 32443  T: 0.240788
501 COPPIA: 32531 32533  T: 0.242089
502 COPPIA: 32561 32563  T: 0.242601
503 COPPIA: 32609 32611  T: 0.243411
504 COPPIA: 32717 32719  T: 0.244970
505 COPPIA: 32801 32803  T: 0.246318
506 COPPIA: 32831 32833  T: 0.246649
507 COPPIA: 32909 32911  T: 0.247680
508 COPPIA: 32939 32941  T: 0.248154
509 COPPIA: 32969 32971  T: 0.248530
510 COPPIA: 33071 33073  T: 0.250663
511 COPPIA: 33149 33151  T: 0.251768
512 COPPIA: 33179 33181  T: 0.252147
513 COPPIA: 33287 33289  T: 0.253549
514 COPPIA: 33329 33331  T: 0.254185
515 COPPIA: 33347 33349  T: 0.254509
516 COPPIA: 33587 33589  T: 0.258043
517 COPPIA: 33599 33601  T: 0.258443
518 COPPIA: 33617 33619  T: 0.258961
519 COPPIA: 33749 33751  T: 0.260892
520 COPPIA: 33767 33769  T: 0.261300
521 COPPIA: 33809 33811  T: 0.261809
522 COPPIA: 33827 33829  T: 0.262126
523 COPPIA: 34031 34033  T: 0.264910
524 COPPIA: 34127 34129  T: 0.266186
525 COPPIA: 34157 34159  T: 0.266752
526 COPPIA: 34211 34213  T: 0.267430
527 COPPIA: 34259 34261  T: 0.268195
528 COPPIA: 34301 34303  T: 0.268923
529 COPPIA: 34367 34369  T: 0.269949
530 COPPIA: 34469 34471  T: 0.271271
531 COPPIA: 34499 34501  T: 0.271761
532 COPPIA: 34511 34513  T: 0.271962
533 COPPIA: 34589 34591  T: 0.273259
534 COPPIA: 34649 34651  T: 0.274072
535 COPPIA: 34757 34759  T: 0.275814
536 COPPIA: 34841 34843  T: 0.277092
537 COPPIA: 34847 34849  T: 0.277286
538 COPPIA: 34961 34963  T: 0.278824
539 COPPIA: 35051 35053  T: 0.280044
540 COPPIA: 35081 35083  T: 0.280601
541 COPPIA: 35279 35281  T: 0.283505
542 COPPIA: 35447 35449  T: 0.286036
543 COPPIA: 35507 35509  T: 0.286838
544 COPPIA: 35531 35533  T: 0.287324
545 COPPIA: 35591 35593  T: 0.288344
546 COPPIA: 35729 35731  T: 0.290099
547 COPPIA: 35801 35803  T: 0.291236
548 COPPIA: 35837 35839  T: 0.291797
549 COPPIA: 35897 35899  T: 0.292649
550 COPPIA: 36011 36013  T: 0.294745
551 COPPIA: 36107 36109  T: 0.296467
552 COPPIA: 36341 36343  T: 0.299975
553 COPPIA: 36467 36469  T: 0.301890
554 COPPIA: 36527 36529  T: 0.302708
555 COPPIA: 36779 36781  T: 0.308360
556 COPPIA: 36791 36793  T: 0.308723
557 COPPIA: 36899 36901  T: 0.310431
558 COPPIA: 36929 36931  T: 0.311083
559 COPPIA: 37019 37021  T: 0.312579
560 COPPIA: 37199 37201  T: 0.315436
561 COPPIA: 37307 37309  T: 0.316883
562 COPPIA: 37337 37339  T: 0.317562
563 COPPIA: 37361 37363  T: 0.317954
564 COPPIA: 37547 37549  T: 0.320871
565 COPPIA: 37571 37573  T: 0.321390
566 COPPIA: 37589 37591  T: 0.321778
567 COPPIA: 37691 37693  T: 0.323409
568 COPPIA: 37781 37783  T: 0.324782
569 COPPIA: 37811 37813  T: 0.325510
570 COPPIA: 37991 37993  T: 0.328445
571 COPPIA: 38237 38239  T: 0.332565
572 COPPIA: 38327 38329  T: 0.334106
573 COPPIA: 38447 38449  T: 0.335893
574 COPPIA: 38459 38461  T: 0.336181
575 COPPIA: 38567 38569  T: 0.337774
576 COPPIA: 38609 38611  T: 0.338350
577 COPPIA: 38651 38653  T: 0.339059
578 COPPIA: 38669 38671  T: 0.339388
579 COPPIA: 38711 38713  T: 0.340243
580 COPPIA: 38747 38749  T: 0.340969
581 COPPIA: 38921 38923  T: 0.343526
582 COPPIA: 39041 39043  T: 0.345827
583 COPPIA: 39161 39163  T: 0.347890
584 COPPIA: 39227 39229  T: 0.348998
585 COPPIA: 39239 39241  T: 0.349320
586 COPPIA: 39341 39343  T: 0.350866
587 COPPIA: 39371 39373  T: 0.351493
588 COPPIA: 39509 39511  T: 0.353814
589 COPPIA: 39827 39829  T: 0.359231
590 COPPIA: 39839 39841  T: 0.359498
591 COPPIA: 40037 40039  T: 0.363258
592 COPPIA: 40127 40129  T: 0.364717
593 COPPIA: 40151 40153  T: 0.365104
594 COPPIA: 40427 40429  T: 0.369562
595 COPPIA: 40529 40531  T: 0.371482
596 COPPIA: 40637 40639  T: 0.373413
597 COPPIA: 40697 40699  T: 0.374401
598 COPPIA: 40847 40849  T: 0.377140
599 COPPIA: 41141 41143  T: 0.382534
600 COPPIA: 41177 41179  T: 0.383365
601 COPPIA: 41201 41203  T: 0.383851
602 COPPIA: 41231 41233  T: 0.384517
603 COPPIA: 41387 41389  T: 0.387184
604 COPPIA: 41411 41413  T: 0.387616
605 COPPIA: 41519 41521  T: 0.389610
606 COPPIA: 41609 41611  T: 0.391096
607 COPPIA: 41759 41761  T: 0.393707
608 COPPIA: 41849 41851  T: 0.395141
609 COPPIA: 41957 41959  T: 0.397419
610 COPPIA: 41981 41983  T: 0.397869
611 COPPIA: 42017 42019  T: 0.399066
